token,exchange,symbol
868921,BSE_FO,IIFL
850440,BSE_FO,IIFL
833681,BSE_FO,ICICIGI
870305,BSE_FO,ICICIGI
851786,BSE_FO,ICICIGI
836498,BSE_FO,INDIGO
866496,BSE_FO,INDIGO
854388,BSE_FO,INDIGO
832740,BSE_FO,INDIANB
869464,BSE_FO,INDIANB
850948,BSE_FO,INDIANB
835230,BSE_FO,INDHOTEL
871719,BSE_FO,INDHOTEL
853182,BSE_FO,INDHOTEL
837697,BSE_FO,INDUSTOWER
867631,BSE_FO,INDUSTOWER
849157,BSE_FO,INDUSTOWER
836760,BSE_FO,INFY
866737,BSE_FO,INFY
854627,BSE_FO,INFY
833363,BSE_FO,IGL
870024,BSE_FO,IGL
851500,BSE_FO,IGL
833553,BSE_FO,INOXWIND
870211,BSE_FO,INOXWIND
851688,BSE_FO,INOXWIND
837959,BSE_FO,IOC
867916,BSE_FO,IOC
849409,BSE_FO,IOC
834577,BSE_FO,IRB
832074,BSE_FO,IRCTC
868811,BSE_FO,IRCTC
850325,BSE_FO,IRCTC
831668,BSE_FO,IREDA
868437,BSE_FO,IREDA
849940,BSE_FO,IREDA
836247,BSE_FO,IRFC
866255,BSE_FO,IRFC
854117,BSE_FO,IRFC
837975,BSE_FO,ITC
867935,BSE_FO,ITC
849425,BSE_FO,ITC
836017,BSE_FO,JUBLFOOD
866041,BSE_FO,JUBLFOOD
853893,BSE_FO,JUBLFOOD
834033,BSE_FO,JIOFIN
870645,BSE_FO,JIOFIN
852113,BSE_FO,JIOFIN
834505,BSE_FO,JINDALSTEL
871072,BSE_FO,JINDALSTEL
852519,BSE_FO,JINDALSTEL
836015,BSE_FO,JSL
833490,BSE_FO,JSWENERGY
870132,BSE_FO,JSWENERGY
851621,BSE_FO,JSWENERGY
836343,BSE_FO,JSWSTEEL
866351,BSE_FO,JSWSTEEL
854227,BSE_FO,JSWSTEEL
835303,BSE_FO,KALYANKJIL
871794,BSE_FO,KALYANKJIL
853256,BSE_FO,KALYANKJIL
834259,BSE_FO,KEI
870851,BSE_FO,KEI
852288,BSE_FO,KEI
848819,BSE_FO,KFINTECH
870895,BSE_FO,KFINTECH
852337,BSE_FO,KFINTECH
836611,BSE_FO,KOTAKBANK
866573,BSE_FO,KOTAKBANK
854479,BSE_FO,KOTAKBANK
836035,BSE_FO,KPITTECH
866066,BSE_FO,KPITTECH
853926,BSE_FO,KPITTECH
836176,BSE_FO,KAYNES
866192,BSE_FO,KAYNES
854048,BSE_FO,KAYNES
836142,BSE_FO,LAURUSLABS
866165,BSE_FO,LAURUSLABS
854029,BSE_FO,LAURUSLABS
834341,BSE_FO,LICHSGFIN
870924,BSE_FO,LICHSGFIN
852368,BSE_FO,LICHSGFIN
832122,BSE_FO,LICI
868872,BSE_FO,LICI
850371,BSE_FO,LICI
832930,BSE_FO,LTF
869636,BSE_FO,LTF
851097,BSE_FO,LTF
835391,BSE_FO,LT
865495,BSE_FO,LT
853335,BSE_FO,LT
837748,BSE_FO,LODHA
867701,BSE_FO,LODHA
849219,BSE_FO,LODHA
838185,BSE_FO,LTIM
868129,BSE_FO,LTIM
849613,BSE_FO,LTIM
835456,BSE_FO,LUPIN
865554,BSE_FO,LUPIN
853397,BSE_FO,LUPIN
833070,BSE_FO,MANAPPURAM
869770,BSE_FO,MANAPPURAM
851227,BSE_FO,MANAPPURAM
835516,BSE_FO,MANKIND
865601,BSE_FO,MANKIND
853455,BSE_FO,MANKIND
835806,BSE_FO,MARICO
865836,BSE_FO,MARICO
853700,BSE_FO,MARICO
833001,BSE_FO,MARUTI
869701,BSE_FO,MARUTI
851158,BSE_FO,MARUTI
836921,BSE_FO,MAXHEALTH
866903,BSE_FO,MAXHEALTH
854798,BSE_FO,MAXHEALTH
835403,BSE_FO,MCX
865508,BSE_FO,MCX
853348,BSE_FO,MCX
835883,BSE_FO,MAZDOCK
865911,BSE_FO,MAZDOCK
853773,BSE_FO,MAZDOCK
838214,BSE_FO,M&M
868150,BSE_FO,M&M
849640,BSE_FO,M&M
836945,BSE_FO,MPHASIS
866931,BSE_FO,MPHASIS
854825,BSE_FO,MPHASIS
833592,BSE_FO,ADANIPORTS
870244,BSE_FO,ADANIPORTS
851716,BSE_FO,ADANIPORTS
835147,BSE_FO,MOTHERSON
871630,BSE_FO,MOTHERSON
853104,BSE_FO,MOTHERSON
835679,BSE_FO,MUTHOOTFIN
865738,BSE_FO,MUTHOOTFIN
853592,BSE_FO,MUTHOOTFIN
865565,BSE_FO,MFSL
853412,BSE_FO,MFSL
834268,BSE_FO,NATIONALUM
833220,BSE_FO,NBCC
870860,BSE_FO,NATIONALUM
852300,BSE_FO,NATIONALUM
869903,BSE_FO,NBCC
837758,BSE_FO,NAUKRI
867709,BSE_FO,NAUKRI
849227,BSE_FO,NAUKRI
851368,BSE_FO,NBCC
832290,BSE_FO,NCC
869010,BSE_FO,NCC
850522,BSE_FO,NCC
832858,BSE_FO,NESTLEIND
869571,BSE_FO,NESTLEIND
851040,BSE_FO,NESTLEIND
837292,BSE_FO,NHPC
867249,BSE_FO,NHPC
855139,BSE_FO,NHPC
837767,BSE_FO,COFORGE
867720,BSE_FO,COFORGE
849233,BSE_FO,COFORGE
832844,BSE_FO,NMDC
869560,BSE_FO,NMDC
851032,BSE_FO,NMDC
831963,BSE_FO,NTPC
868729,BSE_FO,NTPC
850225,BSE_FO,NTPC
865184,BSE_FO,NUVAMA
869704,BSE_FO,NUVAMA
865147,BSE_FO,NUVAMA
831618,BSE_FO,NYKAA
868400,BSE_FO,NYKAA
849900,BSE_FO,NYKAA
834899,BSE_FO,OBEROIRLTY
871411,BSE_FO,OBEROIRLTY
852860,BSE_FO,OBEROIRLTY
835854,BSE_FO,OFSS
865886,BSE_FO,OFSS
853744,BSE_FO,OFSS
831894,BSE_FO,OIL
868649,BSE_FO,OIL
850168,BSE_FO,OIL
837138,BSE_FO,ONGC
867092,BSE_FO,ONGC
854993,BSE_FO,ONGC
848724,BSE_FO,360ONE
868908,BSE_FO,360ONE
850425,BSE_FO,360ONE
834960,BSE_FO,PAGEIND
871457,BSE_FO,PAGEIND
852918,BSE_FO,PAGEIND
832061,BSE_FO,POLICYBZR
868799,BSE_FO,POLICYBZR
850315,BSE_FO,POLICYBZR
835032,BSE_FO,PRESTIGE
871521,BSE_FO,PRESTIGE
852982,BSE_FO,PRESTIGE
838396,BSE_FO,PERSISTENT
868320,BSE_FO,PERSISTENT
849802,BSE_FO,PERSISTENT
832469,BSE_FO,PFC
869213,BSE_FO,PFC
850703,BSE_FO,PFC
831730,BSE_FO,POWERGRID
868506,BSE_FO,POWERGRID
850016,BSE_FO,POWERGRID
848809,BSE_FO,PGEL
870611,BSE_FO,PGEL
852080,BSE_FO,PGEL
835648,BSE_FO,PHOENIXLTD
865704,BSE_FO,PHOENIXLTD
853562,BSE_FO,PHOENIXLTD
837006,BSE_FO,PIDILITIND
866989,BSE_FO,PIDILITIND
854881,BSE_FO,PIDILITIND
833331,BSE_FO,PIIND
869991,BSE_FO,PIIND
851466,BSE_FO,PIIND
832252,BSE_FO,PETRONET
868964,BSE_FO,PETRONET
850485,BSE_FO,PETRONET
831747,BSE_FO,PNB
868516,BSE_FO,PNB
850025,BSE_FO,PNB
837286,BSE_FO,PNBHOUSING
867238,BSE_FO,PNBHOUSING
855128,BSE_FO,PNBHOUSING
832849,BSE_FO,POONAWALLA
838039,BSE_FO,POLYCAB
868005,BSE_FO,POLYCAB
849501,BSE_FO,POLYCAB
834384,BSE_FO,PPLPHARMA
870956,BSE_FO,PPLPHARMA
852398,BSE_FO,PPLPHARMA
835986,BSE_FO,PATANJALI
865997,BSE_FO,PATANJALI
853861,BSE_FO,PATANJALI
832356,BSE_FO,PAYTM
869077,BSE_FO,PAYTM
850594,BSE_FO,PAYTM
838015,BSE_FO,RBLBANK
867970,BSE_FO,RBLBANK
849468,BSE_FO,RBLBANK
831913,BSE_FO,RECLTD
868668,BSE_FO,RECLTD
850178,BSE_FO,RECLTD
834804,BSE_FO,RELIANCE
871328,BSE_FO,RELIANCE
852778,BSE_FO,RELIANCE
836066,BSE_FO,RVNL
866087,BSE_FO,RVNL
853961,BSE_FO,RVNL
836522,BSE_FO,SAIL
866510,BSE_FO,SAIL
854403,BSE_FO,SAIL
835773,BSE_FO,SBIN
865820,BSE_FO,SBIN
853679,BSE_FO,SBIN
833676,BSE_FO,SBILIFE
870298,BSE_FO,SBILIFE
